Source title,CiteScore,Highest percentile,2021-24 Citations,2021-24 Documents,% Cited,SNIP,SJR,Publisher
Materials,6.4,"79.0%
91/443
Atomic and Molecular Physics, and Optics",92097.0,14308.0,78.0,1.247,0.93,Optica Publishing Group (formerly OSA)
Journal of Physical Chemistry C,6.2,"74.0%
34/132
Surfaces, Coatings and Films",59841.0,9680.0,81.0,0.801,0.914,American Chemical Society
Nanotechnology,6.2,"79.0%
151/720
Mechanical Engineering",23953.0,3837.0,83.0,0.615,0.597,Institute of Physics Publishing
Physical Review B,6.2,"77.0%
100/443
Condensed Matter Physics",123689.0,20077.0,79.0,0.962,1.303,American Physical Society
"Computers, Materials and Continua",6.1,"86.0%
51/361
Modeling and Simulation",26404.0,4307.0,75.0,0.675,0.431,Tech Science Press
Applied Physics Letters,6.1,"85.0%
13/87
Physics and Astronomy (miscellaneous)",57733.0,9442.0,78.0,1.001,0.896,American Institute of Physics
Journal of the Electrochemical Society,6.1,"77.0%
102/443
Condensed Matter Physics",32495.0,5305.0,79.0,0.76,0.774,Institute of Physics Publishing
Electronics (Switzerland),6.1,"76.0%
228/970
Condensed Matter Physics",42748.0,7164.0,78.0,0.837,0.763,American Chemical Society
Dalton Transactions,6.0,"64.0%
29/81
Inorganic Chemistry",44396.0,7376.0,80.0,0.691,0.653,Royal Society of Chemistry
IEEE Transactions on Electron Devices,6.0,"75.0%
238/970
Electrical and Electronic Engineering",25685.0,4306.0,79.0,1.389,0.788,IEEE
Chemical Physics Letters,5.9,"80.0%
49/246
General Physics and Astronomy",15699.0,2673.0,78.0,0.687,0.546,Elsevier
Physical Review Materials,5.9,"84.0%
14/87
Physics and Astronomy (miscellaneous)",15606.0,2649.0,79.0,1.002,0.945,American Physical Society
Journal of Applied Polymer Science,5.8,"72.0%
37/132
Surfaces, Coatings and Films",35769.0,6164.0,82.0,0.7,0.572,John Wiley & Sons
Materials Today Communications,5.8,"72.0%
113/403
Mechanics of Materials",53586.0,9284.0,76.0,1.002,0.788,Elsevier
Crystal Growth and Design,5.6,"74.0%
113/443
Condensed Matter Physics",18736.0,3323.0,80.0,0.901,0.633,American Chemical Society
European Physical Journal Plus,5.5,"79.0%
52/246
General Physics and Astronomy",26304.0,4758.0,74.0,0.934,0.487,Springer Nature
PLOS ONE,5.4,"86.0%
28/200
",341421.0,62774.0,72.0,1.065,0.803,Public Library of Science
Materials Letters,5.4,"74.0%
182/720
Mechanical Engineering",42937.0,7925.0,80.0,0.664,0.591,Elsevier
Coatings,5.4,"66.0%
45/132
General Physics and Astronomy",41224.0,7847.0,77.0,0.911,0.819,American Institute of Physics
Journal of Physical Chemistry B,5.3,"64.0%
47/132
Surfaces, Coatings and Films",22965.0,4345.0,79.0,0.811,0.742,American Chemical Society
